Date,Type,Name,Start,End,Duration
7/15/14,move,walking,2014-07-15T19:33:15+02:00,2014-07-15T19:40:11+02:00,416
7/15/14,place,Place in Darmstadt,2014-07-15T19:40:11+02:00,2014-07-16T00:00:00+02:00,15589
7/16/14,place,Place in Darmstadt,2014-07-16T00:00:00+02:00,2014-07-16T13:14:58+02:00,47698
7/16/14,move,walking,2014-07-16T13:14:58+02:00,2014-07-16T13:19:46+02:00,288
7/16/14,move,transport,2014-07-16T13:19:46+02:00,2014-07-16T13:26:52+02:00,426
7/16/14,move,walking,2014-07-16T13:26:52+02:00,2014-07-16T13:31:25+02:00,273
7/16/14,place,Place in TU Darmstadt,2014-07-16T13:31:25+02:00,2014-07-16T14:39:40+02:00,4095
7/16/14,place,Place in Darmstadt,2014-07-16T17:30:01+02:00,2014-07-16T22:01:49+02:00,16308
7/16/14,move,walking,2014-07-16T22:01:49+02:00,2014-07-16T22:06:41+02:00,292
7/16/14,place,Place in Darmstadt,2014-07-16T22:06:41+02:00,2014-07-16T23:43:05+02:00,5784
7/16/14,move,walking,2014-07-16T23:43:05+02:00,2014-07-16T23:46:12+02:00,187
7/16/14,place,Place in Darmstadt,2014-07-16T23:46:12+02:00,2014-07-17T00:00:00+02:00,828
7/17/14,place,Place in Darmstadt,2014-07-17T00:00:00+02:00,2014-07-17T13:40:55+02:00,49255
7/17/14,move,walking,2014-07-17T13:40:55+02:00,2014-07-17T13:52:51+02:00,716
7/17/14,place,Place in TU Darmstadt / S1,2014-07-17T13:52:51+02:00,2014-07-17T20:08:54+02:00,22563
7/17/14,move,walking,2014-07-17T20:08:54+02:00,2014-07-17T20:20:35+02:00,701
7/17/14,place,Place in Darmstadt,2014-07-17T20:20:34+02:00,2014-07-17T20:25:29+02:00,295
7/17/14,move,walking,2014-07-17T20:25:29+02:00,2014-07-17T20:31:39+02:00,370
7/17/14,place,Place in Darmstadt,2014-07-17T20:31:39+02:00,2014-07-18T00:00:00+02:00,12501
7/18/14,place,Place in Darmstadt,2014-07-18T00:00:00+02:00,2014-07-18T22:42:29+02:00,81749
7/18/14,move,walking,2014-07-18T22:42:29+02:00,2014-07-18T22:47:52+02:00,323
7/18/14,place,Place in Darmstadt,2014-07-18T22:47:51+02:00,2014-07-19T00:00:00+02:00,4329
7/19/14,place,Place in Darmstadt,2014-07-19T00:00:00+02:00,2014-07-19T01:19:42+02:00,4782
7/19/14,move,walking,2014-07-19T01:19:42+02:00,2014-07-19T01:23:10+02:00,208
7/19/14,place,Place in Darmstadt,2014-07-19T01:23:10+02:00,2014-07-19T20:09:56+02:00,67606
7/19/14,move,walking,2014-07-19T20:09:56+02:00,2014-07-19T20:14:37+02:00,281
7/19/14,place,Place in Darmstadt,2014-07-19T20:14:38+02:00,2014-07-20T00:00:00+02:00,13522
7/20/14,place,Place in Darmstadt,2014-07-20T00:00:00+02:00,2014-07-21T00:00:00+02:00,86400
7/21/14,place,Place in Darmstadt,2014-07-21T00:00:00+02:00,2014-07-21T10:33:41+02:00,38021
7/21/14,move,walking,2014-07-21T10:33:41+02:00,2014-07-21T10:43:37+02:00,596
7/21/14,place,Place in Darmstadt,2014-07-21T10:43:38+02:00,2014-07-21T11:10:38+02:00,1620
7/21/14,move,walking,2014-07-21T11:10:38+02:00,2014-07-21T11:21:20+02:00,642
7/21/14,place,Place in Darmstadt,2014-07-21T11:21:20+02:00,2014-07-21T12:59:32+02:00,5892
7/21/14,move,walking,2014-07-21T12:59:32+02:00,2014-07-21T13:05:29+02:00,357
7/21/14,move,transport,2014-07-21T13:05:28+02:00,2014-07-21T13:11:49+02:00,381
7/21/14,move,walking,2014-07-21T13:11:49+02:00,2014-07-21T13:21:52+02:00,603
7/21/14,place,Place in TU Darmstadt / S1,2014-07-21T13:21:52+02:00,2014-07-21T14:28:02+02:00,3970
7/21/14,move,walking,2014-07-21T14:28:02+02:00,2014-07-21T14:48:38+02:00,1236
7/21/14,place,Place in Darmstadt,2014-07-21T14:48:38+02:00,2014-07-21T21:50:29+02:00,25311
7/21/14,move,walking,2014-07-21T21:50:29+02:00,2014-07-21T21:56:58+02:00,389
7/21/14,place,Place in Darmstadt,2014-07-21T21:56:57+02:00,2014-07-22T00:00:00+02:00,7383
7/22/14,place,Place in Darmstadt,2014-07-22T00:00:00+02:00,2014-07-22T00:25:34+02:00,1534
7/22/14,move,walking,2014-07-22T00:25:34+02:00,2014-07-22T00:28:16+02:00,162
7/22/14,place,Place in Darmstadt,2014-07-22T00:28:16+02:00,2014-07-22T10:25:55+02:00,35859
7/22/14,move,walking,2014-07-22T10:25:55+02:00,2014-07-22T10:31:57+02:00,362
7/22/14,move,transport,2014-07-22T10:31:57+02:00,2014-07-22T10:48:27+02:00,990
7/22/14,move,walking,2014-07-22T10:48:27+02:00,2014-07-22T10:57:03+02:00,516
7/22/14,place,Place in Darmstadt,2014-07-22T10:57:04+02:00,2014-07-22T11:02:04+02:00,300
7/22/14,move,walking,2014-07-22T11:02:04+02:00,2014-07-22T11:14:27+02:00,743
7/22/14,move,transport,2014-07-22T11:14:27+02:00,2014-07-22T11:24:21+02:00,594
7/22/14,move,walking,2014-07-22T11:24:20+02:00,2014-07-22T11:29:54+02:00,334
7/22/14,place,Place in Darmstadt,2014-07-22T11:29:55+02:00,2014-07-23T00:00:00+02:00,45005
7/23/14,place,Place in Darmstadt,2014-07-23T00:00:00+02:00,2014-07-23T15:46:32+02:00,56792
7/23/14,move,walking,2014-07-23T15:46:32+02:00,2014-07-23T15:52:46+02:00,374
7/23/14,move,transport,2014-07-23T15:52:46+02:00,2014-07-23T15:58:12+02:00,326
7/23/14,move,walking,2014-07-23T15:58:11+02:00,2014-07-23T16:05:54+02:00,463
7/23/14,place,Place in Darmstadt,2014-07-23T16:05:54+02:00,2014-07-23T16:30:53+02:00,1499
7/23/14,move,walking,2014-07-23T16:30:53+02:00,2014-07-23T16:38:53+02:00,480
7/23/14,place,Place in Darmstadt,2014-07-23T16:38:53+02:00,2014-07-23T16:50:17+02:00,684
7/23/14,move,transport,2014-07-23T16:50:17+02:00,2014-07-23T16:53:35+02:00,198
7/23/14,move,walking,2014-07-23T16:53:35+02:00,2014-07-23T17:01:42+02:00,487
7/23/14,place,Place in Darmstadt,2014-07-23T17:01:42+02:00,2014-07-24T00:00:00+02:00,25098
7/24/14,place,Place in Darmstadt,2014-07-24T00:00:00+02:00,2014-07-25T00:00:00+02:00,86400
